DqId,RunId,ConfigId,TaskConfigId,TableName,RowCount,NullCount,DuplicateCount,ValidationStatus,CreatedAt,PipelineRunId
2.02608E+17,2.02608E+17,107,8562,sl_appointmentattend,93,0,2,FAILED,2026-08-19T05:36:21.947Z,05916e11-44cf-456b-ac26-991e7ff5d7aa
2.02608E+17,2.02608E+17,107,8562,sl_appointmentattend,93,0,2,FAILED,2026-08-17T12:44:21.971Z,71c4b27b-8df0-48dd-a1ee-a6ea3a63b852
2.02608E+17,2.02608E+17,107,8562,sl_appointmentattend,93,0,2,FAILED,2026-08-18T09:07:45.961Z,08f45940-4fba-4d40-8013-5941939f8b2e
2.02608E+17,2.02608E+17,107,8562,sl_appointmentattend,93,0,2,FAILED,2026-08-15T13:57:23.840Z,56214535-005b-4285-976b-e0172bc11b0b
2.02608E+17,2.02608E+17,107,8562,sl_appointmentattend,93,0,2,FAILED,2026-08-19T11:38:32.061Z,8c2f72fa-f3d3-4c31-9e7b-e1d36d508d72
2.02608E+17,2.02608E+17,82,6806,br_sf_outboundtexts,302,0,0,SUCCESS,2026-08-21T02:04:49.311Z,6e633944-6270-4167-9c27-2b58aaa91b88
2.02608E+17,2.02608E+17,107,8562,sl_appointmentattend,93,0,2,FAILED,2026-08-17T06:54:18.784Z,83c0f655-df7d-4ce0-a8e7-3e8120951bbc
2.02608E+17,2.02608E+17,82,6806,br_sf_outboundtexts,158,0,0,SUCCESS,2026-08-21T10:35:43.237Z,45603680-296f-4487-82f1-f8045d5f38e1
2.02608E+17,2.02608E+13,109,8608,br_cashflow_transactions,509839,509839,0,SUCCESS,2026-08-17T05:00:50.387Z,519221b9-f777-4eef-a705-f54d38d423fd
2.02608E+17,2.02608E+13,109,8608,br_cashflow_transactions,509839,509839,0,SUCCESS,2026-08-14T10:06:41.924Z,06018e17-471e-496d-b3c3-22a4b000055f
2.02608E+17,2.02608E+13,109,8608,br_cashflow_transactions,509839,509839,0,SUCCESS,2026-08-14T07:42:04.874Z,2b76f80f-940a-42f8-ba7f-a8bff776f2f4
2.02608E+17,2.02608E+17,107,8565,slv_vacomprehensiveassessment,1786,0,0,SUCCESS,2026-08-12T09:17:49.923Z,577435af-c452-4617-9a3c-7d2b03361707
2.02608E+17,2.02608E+13,4,29,br_8x8_HistoricalCCQueueSummary,112,0,0,SUCCESS,2026-08-13T14:44:11.486Z,1ff2783f-65b1-4543-a347-ca96da33eb80
2.02608E+17,2.02608E+17,45,194,ClinicalOpiateWithdrawalScale,425776,0,0,SUCCESS,2026-08-21T09:34:53.640Z,859bd6e7-8433-41b7-8f16-164cdd55063d
2.02608E+17,2.02608E+17,107,8565,slv_vacomprehensiveassessment,1781,0,0,SUCCESS,2026-08-11T04:12:11.609Z,6e36e3b5-c33e-4cc8-b6e2-dc5c3524428c
2.02608E+17,2.02608E+17,107,8565,slv_vacomprehensiveassessment,1786,0,0,SUCCESS,2026-08-14T06:19:22.669Z,9a6b8567-8347-49cb-b213-618351c5e21c
2.02608E+17,2.02608E+13,4,29,br_8x8_HistoricalCCQueueSummary,115,0,0,SUCCESS,2026-08-14T02:58:28.700Z,360959fd-08b4-465c-be75-1bdb70b33137
2.02608E+17,2.02608E+17,106,7736,brz_MNComprehensiveAssessment,1119,0,0,SUCCESS,2026-08-11T04:11:14.720Z,6e36e3b5-c33e-4cc8-b6e2-dc5c3524428c
2.02608E+17,2.02608E+17,45,194,ClinicalOpiateWithdrawalScale,425776,0,0,SUCCESS,2026-08-21T02:41:13.115Z,37d39418-848b-43a3-aff1-182cc8bb7455
2.02608E+17,2.02608E+13,2,8,HourRegister,106121,0,0,SUCCESS,2026-08-12T04:14:21.523Z,5887a7ec-8e8e-4ea8-ac1e-92a68946509a
2.02608E+17,2.02608E+13,2,8,HourRegister,108289,0,0,SUCCESS,2026-08-25T03:01:27.279Z,6ee9c1fc-1bc7-4a37-a063-1dfebdad8409
2.02608E+17,2.02608E+13,93,5716,CB_Inventory,12,0,0,SUCCESS,2026-08-19T15:59:52.559Z,70375d96-6ad0-4ecf-ab3c-8dd1fbb1f757
2.02608E+17,2.02608E+13,38,153,sl_knowbe4enrollments,94510,0,0,SUCCESS,2026-08-20T06:11:27.588Z,6ebf4f86-a572-46b7-a0b9-e243ddff1ee4
2.02608E+17,2.02608E+13,38,153,sl_knowbe4enrollments,94578,0,0,SUCCESS,2026-08-26T03:09:46.125Z,0afbc06c-50b9-46f2-b129-a534a963485d
2.02608E+17,2.02608E+13,109,8611,br_cashflow_textinput,17,17,0,SUCCESS,2026-08-14T11:11:10.127Z,316e02be-3a9a-4c93-8ef8-ecca66ba18c5
2.02608E+17,2.02608E+13,38,153,sl_knowbe4enrollments,94510,0,0,SUCCESS,2026-08-20T07:09:21.998Z,51c8df81-b91f-4be3-8810-59f3888974f0
2.02608E+17,2.02608E+13,38,153,sl_knowbe4enrollments,94510,0,0,SUCCESS,2026-08-19T18:22:56.898Z,4c3bb2ae-03a6-4a20-bd0c-9fdbe81d40ed
2.02608E+17,2.02608E+13,38,153,sl_knowbe4enrollments,94578,0,0,SUCCESS,2026-08-26T04:11:46.705Z,06bf1b3a-2ded-4e3b-ba7f-359214902c18
2.02608E+17,2.02608E+13,109,8611,br_cashflow_textinput,17,17,0,SUCCESS,2026-08-14T07:47:43.725Z,2b76f80f-940a-42f8-ba7f-a8bff776f2f4
2.02608E+17,2.02608E+17,44,181,sl_GlobalDevices,4032,0,0,SUCCESS,2026-08-21T09:34:25.751Z,859bd6e7-8433-41b7-8f16-164cdd55063d
2.02608E+17,2.02608E+13,5,32,sl_8x8_CallVolume,20502,0,0,SUCCESS,2026-08-14T08:56:18.769Z,36ebac0c-26de-4656-ae31-977cae255ad9
2.02608E+17,2.02608E+13,5,32,sl_8x8_CallVolume,20502,0,0,SUCCESS,2026-08-15T05:32:09.794Z,6517d2eb-46fa-4d72-8ea4-8ae23e1d30a8
2.02608E+17,2.02608E+13,5,32,sl_8x8_CallVolume,20502,0,0,SUCCESS,2026-08-15T11:19:22.061Z,2898ad47-3f2c-4db5-b5fc-5329717fcc94
2.02608E+17,2.02608E+17,82,201,br_sf_recordtype,21,16,0,SUCCESS,2026-08-20T16:39:25.652Z,4ed56315-bafe-4059-9903-76e756bd89c4
2.02608E+17,2.02608E+17,82,201,br_sf_recordtype,21,16,0,SUCCESS,2026-08-20T17:39:12.590Z,635224f3-f193-4ab0-a06c-8d0fbf5d6c6d
2.02608E+17,2.02608E+17,106,7966,brz_VAComprehensiveAssessment,0,0,0,SUCCESS,2026-08-14T05:54:46.519Z,367e5368-81b8-4196-9731-5b3efc5e39d9
2.02608E+17,2.02608E+17,106,7966,brz_VAComprehensiveAssessment,0,0,0,SUCCESS,2026-08-14T06:18:16.108Z,9a6b8567-8347-49cb-b213-618351c5e21c
2.02608E+17,2.02608E+17,106,7966,brz_VAComprehensiveAssessment,0,0,0,SUCCESS,2026-08-12T09:15:30.604Z,577435af-c452-4617-9a3c-7d2b03361707
2.02608E+17,2.02608E+17,106,7966,brz_VAComprehensiveAssessment,8,0,0,SUCCESS,2026-08-12T03:48:51.003Z,72952692-3a45-4fdd-be32-4592206c2867
2.02608E+17,2.02608E+17,106,7966,brz_VAComprehensiveAssessment,0,0,0,SUCCESS,2026-08-12T10:47:40.695Z,1325a4eb-aa02-4bc9-9fae-d06e40a0cece
2.02608E+17,2.02608E+17,106,7966,brz_VAComprehensiveAssessment,0,0,0,SUCCESS,2026-08-14T07:19:15.475Z,4f29b93d-8b22-445c-9466-6259e423edcc
2.02608E+17,2.02608E+17,84,13676,PatientContacts,2443,0,0,SUCCESS,2026-08-21T10:54:27.716Z,45603680-296f-4487-82f1-f8045d5f38e1
2.02608E+17,2.02608E+17,84,13676,PatientContacts,3130,0,0,SUCCESS,2026-08-21T02:22:59.729Z,6e633944-6270-4167-9c27-2b58aaa91b88
2.02608E+17,2.02608E+13,5,32,sl_8x8_CallVolume,115,0,0,SUCCESS,2026-08-14T03:03:10.297Z,360959fd-08b4-465c-be75-1bdb70b33137
