RunId,ConfigId,ConfigName,PipelineName,PipelinePath,SourceSystem,TargetName,EnvironmentName,StartTime,EndTime,Status,TriggerType,TriggeredBy,TotalTasks,SuccessTasks,FailedTasks,SkippedTasks,RestartFlag,AttemptNumber,CreatedAt,PipelineRunId
20260831051838,102,QQ_GLTRAN Gold Pipeline,nb_qq_gltran_slv_to_gld,"",LAKEHOUSE,GL,DEV,2026-08-31T05:18:43.950Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-08-31T05:18:43.950Z,1c008b8f-6986-49fb-8a1e-935c0f7c97b8
20260907095614,100,QQ_GLTRAN Bronze Pipeline,pl_qq_gltran,None,MYSQLSERVER,BR,DEV,2026-09-07T10:20:35.965Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,1,8,2026-09-07T10:20:35.965Z,4fcd6866-aab9-408a-84fa-35e80c6bd478
20260907090008,100,QQ_GLTRAN Bronze Pipeline,pl_qq_gltran,None,MYSQLSERVER,BR,DEV,2026-09-07T09:46:14.597Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,1,7,2026-09-07T09:46:14.597Z,11463ad2-ac17-44e2-883f-b7f86a42dcb9
20260624115731,37,KnowBe4 Bronze Pipeline,nb_knowbe4_src_to_brz,/notebooks/nb_knowbe4_execution,KNOWBE4,BR,DEV,2026-08-31T06:37:44.076Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,1,4,2026-08-31T06:37:46.550Z,abc
20260903060742,5,8x8 Silver Pipeline,nb_8x8_brz_to_slv,/notebooks/nb_8x8_brz_to_slv,8X8,SL,DEV,2026-09-03T06:07:44.805Z,,RUNNING,SCHEDULE,Fabric,4,0,0,0,0,1,2026-09-03T06:07:44.805Z,run_20260903060644
20260908070715,100,QQ_GLTRAN Bronze Pipeline,pl_qq_gltran,"",MYSQLSERVER,BR,DEV,2026-09-08T07:07:18.577Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-08T07:07:18.577Z,5d18dcda-c6f0-4d67-8736-c6767bdb2394
20260831091815,100,QQ_GLTRAN Bronze Pipeline,pl_qq_gltran,"",MYSQLSERVER,BR,DEV,2026-08-31T09:18:23.862Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-08-31T09:18:23.862Z,5c914870-1259-45db-8e01-071c49c2c48b
20260908110419,100,QQ_GLTRAN Bronze Pipeline,pl_qq_gltran,"",MYSQLSERVER,BR,DEV,2026-09-08T11:04:22.231Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-08T11:04:22.231Z,1bb6c43b-cb93-446c-8f87-7c51a93af387
20260908105352,100,QQ_GLTRAN Bronze Pipeline,pl_qq_gltran,"",MYSQLSERVER,BR,DEV,2026-09-08T10:53:55.376Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-08T10:53:55.376Z,af81f259-1578-4204-bdb6-a05208e46ed7
20260908065514,100,QQ_GLTRAN Bronze Pipeline,pl_qq_gltran,"",MYSQLSERVER,BR,DEV,2026-09-08T06:55:18.483Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-08T06:55:18.483Z,5481aa3d-c115-4ed0-a64a-8e1d0ae70935
20260908072702,100,QQ_GLTRAN Bronze Pipeline,pl_qq_gltran,"",MYSQLSERVER,BR,DEV,2026-09-08T07:27:06.123Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-08T07:27:06.123Z,f9c07595-f223-4eb3-9ab5-89006dc39fd6
20260907050015,100,QQ_GLTRAN Bronze Pipeline,pl_qq_gltran,"",MYSQLSERVER,BR,DEV,2026-09-07T05:00:24.541Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-07T05:00:24.541Z,f74a5d25-bd7c-423d-be43-4d097b916c61
20260831100518,100,QQ_GLTRAN Bronze Pipeline,pl_qq_gltran,"",MYSQLSERVER,BR,DEV,2026-08-31T10:05:26.567Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-08-31T10:05:26.567Z,9c46e6d2-bc29-486b-834a-5cb790eff166
20260902094025,100,QQ_GLTRAN Bronze Pipeline,pl_qq_gltran,"",MYSQLSERVER,BR,DEV,2026-09-02T09:40:34.519Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-02T09:40:34.519Z,37c478d0-9f56-4e8a-8c38-be79ba66e3f9
20260908085036,100,QQ_GLTRAN Bronze Pipeline,pl_qq_gltran,"",MYSQLSERVER,BR,DEV,2026-09-08T08:50:39.386Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-08T08:50:39.386Z,87732f2b-54c5-476f-8050-2c183396a2bf
20260831110719,100,QQ_GLTRAN Bronze Pipeline,pl_qq_gltran,"",MYSQLSERVER,BR,DEV,2026-08-31T11:07:30.215Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-08-31T11:07:30.215Z,d5eac79e-3c62-41a9-a5d7-bc44d27ead24
20260831094604,100,QQ_GLTRAN Bronze Pipeline,pl_qq_gltran,"",MYSQLSERVER,BR,DEV,2026-08-31T09:46:14.290Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-08-31T09:46:14.290Z,99ee6f68-ff7d-4d6b-900e-e5e0d7f1a4b2
20260908071927,100,QQ_GLTRAN Bronze Pipeline,pl_qq_gltran,"",MYSQLSERVER,BR,DEV,2026-09-08T07:19:30.270Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-08T07:19:30.270Z,6cfdddb1-3285-41a5-a2d2-7f3b24ce17f2
